VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDJX3AE3G,Spokane,Spokane,WA,99208,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,6,343102749,POINT (-117.45005 47.7333),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010702
LREKK5RX2J,Pierce,Fox Island,WA,98333,2018,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,75095,26,112443488,POINT (-122.65107 47.27375),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072410
WBAJB1C54J,Snohomish,Mountlake Terrace,WA,98043,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,54950,1,260205494,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051200
WMZYU7C53K,King,Seattle,WA,98112,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,43,215802709,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007600
WP1AE2AY1L,King,Redmond,WA,98053,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,81100,45,113140401,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032328
5YJSA1S13E,King,Auburn,WA,98001,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,47,478013056,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029901
WP1AE2AY9L,Clark,Camas,WA,98607,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,81100,18,261209987,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041328
5YJSA1H17E,King,Des Moines,WA,98198,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,33,180771769,POINT (-122.32192 47.40139),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028801
WMZYU7C53K,Snohomish,Snohomish,WA,98290,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,44,264098362,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052302
KNDJP3AE9H,Whatcom,Bellingham,WA,98229,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,40,349537751,POINT (-122.45486 48.7449),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000803
2C4RC1N77K,King,Redmond,WA,98053,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,45,477095496,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032315
KNDJX3AE2G,Skagit,La Conner,WA,98257,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,10,256252447,POINT (-122.49724 48.38874),PUGET SOUND ENERGY INC,53057940802
